file_id	source_name	offset	len	slack	jp_text	en_text
ID00003	rom_all_chara_status_g.pac	0x3ac	15	24	伊織　一志	Itou Kazushi
ID00003	rom_all_chara_status_g.pac	0x3d4	21	18	いとう　かずし	Itou Kazushi
ID00003	rom_all_chara_status_g.pac	0x3fc	15	24	伊織　一志	Itou Kazushi
ID00003	rom_all_chara_status_g.pac	0x549	15	24	相良　美宇	Sagara Miu
ID00003	rom_all_chara_status_g.pac	0x571	18	21	さがら　みう	Sagara Miu
ID00003	rom_all_chara_status_g.pac	0x599	15	24	相良　美宇	Sagara Miu
ID00003	rom_all_chara_status_g.pac	0x6e6	33	6	マリアーナ　プリンシラ	Mariana Priscilla
ID00003	rom_all_chara_status_g.pac	0x70e	33	6	マリアーナ　プリンシラ	Mariana Priscilla
ID00003	rom_all_chara_status_g.pac	0x736	15	24	マリアーナ	Mariana
ID00003	rom_all_chara_status_g.pac	0x883	15	24	反町　莉子	Sorimachi Riko
ID00003	rom_all_chara_status_g.pac	0x8ab	21	18	そりまち　りこ	Sorimachi Riko
ID00003	rom_all_chara_status_g.pac	0x8d3	15	24	反町　莉子	Sorimachi Riko
ID00003	rom_all_chara_status_g.pac	0xa20	15	24	御前　渚紗	Misaki Nagisa
ID00003	rom_all_chara_status_g.pac	0xa48	21	18	みさき　なぎさ	Misaki Nagisa
ID00003	rom_all_chara_status_g.pac	0xa70	15	24	御前　渚紗	Misaki Nagisa
ID00003	rom_all_chara_status_g.pac	0xbbd	18	21	鳴瀬　まひろ	Naruse Mahiro
ID00003	rom_all_chara_status_g.pac	0xbe5	21	18	なるせ　まひろ	Naruse Mahiro
ID00003	rom_all_chara_status_g.pac	0xc0d	18	21	鳴瀬　まひろ	Naruse Mahiro
ID00003	rom_all_chara_status_g.pac	0xd5a	15	24	妃月　凜世	Himeragi Rinze
ID00003	rom_all_chara_status_g.pac	0xd82	24	15	ひめらぎ　りんぜ	Himeragi Rinze
ID00003	rom_all_chara_status_g.pac	0xdaa	15	24	妃月　凜世	Himeragi Rinze
ID00003	rom_all_chara_status_g.pac	0xef7	18	21	藍田　美由璃	Aida Miyuri
ID00003	rom_all_chara_status_g.pac	0xf1f	21	18	あいだ　みゆり	Aida Miyuri
ID00003	rom_all_chara_status_g.pac	0xf47	18	21	藍田　美由璃	Aida Miyuri
ID00003	rom_all_chara_status_g.pac	0x1094	15	24	内魔　悠子	Uchima Yuko
ID00003	rom_all_chara_status_g.pac	0x10bc	21	18	うちま　ゆうこ	Uchima Yuko
ID00003	rom_all_chara_status_g.pac	0x10e4	15	24	内魔　悠子	Uchima Yuko
ID00003	rom_all_chara_status_g.pac	0x1231	6	33	真奈	Mana
ID00003	rom_all_chara_status_g.pac	0x1259	6	33	まな	Mana
ID00003	rom_all_chara_status_g.pac	0x1281	6	33	真奈	Mana
ID00003	rom_all_chara_status_g.pac	0x13ce	6	33	結菜	Yuina
ID00003	rom_all_chara_status_g.pac	0x13f6	9	30	ゆいな	Yuina
ID00003	rom_all_chara_status_g.pac	0x141e	6	33	結菜	Yuina
ID00003	rom_all_chara_status_g.pac	0x156b	18	21	五十鈴　心美	Isuzu Kokomi
ID00003	rom_all_chara_status_g.pac	0x1593	21	18	いすず　ここみ	Isuzu Kokomi
ID00003	rom_all_chara_status_g.pac	0x15bb	18	21	五十鈴　心美	Isuzu Kokomi
ID00003	rom_all_chara_status_g.pac	0x1708	18	21	阿武壬　たま	Abumi Tama
