# eboot 1.07 translation table, generated by build_eboot107.py
0x811f86e8	Free Reco Session
0x811f8708	Album
0x811f8718	Event Replay
0x811f8f74	????
0x811f92ac	Iori
0x811f92b4	Kazu
0x811fad54	Please enter a name.
0x811fad98	Please choose a personality.
0x811ff418	222ccc|||Failed to create the MP4
0x811ff44c	Failed to create the MP4.\nAborting.
0x811ff689	FKPUZ_dSerious
0x811ff6a6	Nice Guy
0x811ff6bc	Big Eater
0x811ff6d2	Mischievous
0x811ff6e8	Playful
0x811ff6fe	Naughty
0x811ff714	Honor Student
0x811ff72a	Tough Guy
0x811ff740	Romantic
0x811ff756	Gigolo
0x811ff76c	Eros
0x811ff782	Talk Master
0x81200884	CUTE Own Movie BEST
0x812008a0	CUTE Own Movie BETTER
0x812008bc	CUTE Own Movie GOOD
0x812008d8	CUTE Own Movie NORMAL
0x812008f4	CUTE Other Movie BEST
0x81200910	CUTE Other Movie BETTER
0x8120092c	CUTE Other Movie GOOD
0x81200948	CUTE Other Movie NORMAL
0x81200964	CUTE Shy Movie BEST
0x81200984	CUTE Shy Movie BETTER
0x812009a8	CUTE Shy Movie GOOD
0x812009c8	CUTE Shy Movie NORMAL
0x81200a50	Hide
0x81201ae0	Checking downloadable content : %3d ％
0x81201c78	Character
0x81201c8c	Photo Mode
0x81201c9c	Attribute
0x81201cac	Points
0x81201cbc	Length
0x81201ccc	Favorite
0x81201cdc	Sagara Miu
0x81201cec	Mariana
0x81201cfc	Sorimachi Riko
0x81201d0c	Misaki Nagisa
0x81201d1c	Naruse Mahiro
0x81201d2c	Himeragi Rinze
0x81201d3c	Aida Miyuri
0x81201d4c	Uchima Yuko
0x81201d5c	Mana
0x81201d64	Yuina
0x81201d6c	Isuzu Kokomi
0x81201d7c	Other
0x81201d88	Reco Session
0x81201da0	Reco Chance
0x81201dd0	1000P+
0x81201ddc	800P+
0x81201de8	600P+
0x81201df4	400P+
0x81201e00	200P+
0x81201e0c	0P+
0x81201e18	15s+
0x81201e24	<15s
0x81201ed4	Camera H-Rotation
0x81201eec	Camera V-Rotation
0x81201f04	Initial Camera Mode
0x81201f20	Stabilizer
0x81201f30	Zoom Speed
0x81201f48	Bank Speed
0x81201f60	Persp. Speed
0x81201f78	Photo Button
0x81201f94	Show Duck
0x81202138	BGM
0x81202144	Voice
0x81202150	SE
0x81202158	Message Speed
0x81202174	Message Wait
0x81202190	Wait for Voice
0x812021b0	Skip Unread
0x812021cc	Movie Auto-Save
0x812021f4	Skip Love Hack Scene
0x8120221c	Voice Cut
0x81202230	Anti-Aliasing
0x8120224c	Show Shadows
0x8120225c	Love Check characters in uniform
0x81202288	Reco Chance in event replay
0x81202394	Select
0x812024b8	Select Character
0x81202524	?????
0x81202544	Select Action
0x812026d8	None
0x812026e0	Total Play Time
0x812026f4	Best Shot Points
0x81202710	Total Shots
0x81202724	Story Cute Points
0x81202744	Story Eros Points
0x81202764	Story Duck Points
0x81202784	Free Session Points
0x812027cc	?????
0x8120290c	Elementary
0x81202918	Middle
0x81202924	High 1
0x81202930	High 2
0x8120293c	High 3
0x81202948	Library
0x81202954	Home Ec Room
0x81202964	Infirmary
0x81202970	Canteen
0x81202978	Roof Garden
0x81202988	Gym
0x81202994	Pool
0x812029a0	Yard
0x812029a8	Beach
0x812029b4	Club
0x812029bc	Station Mall
0x812029cc	Amusement Space
0x812029f4	Book Cafe
0x81202a08	Hill Park
0x81203a78	00: Play Recorded BGM
0x81203a9c	01: In My Room
0x81203ab0	02: School Life
0x81203ac4	03: School Life ~Final Week~
0x81203af0	04: Summertime Happy Time
0x81203b20	05: An Idle Afternoon
0x81203b44	06: What a Blunder
0x81203b58	07: Panicked Scramble
0x81203b74	08: Afternoon Rain
0x81203b8c	09: Memories and Dreams
0x81203bb0	10: Sinking Feelings
0x81203bd4	11: Yearning
0x81203be8	12: Zombie House of Hell
0x81203c08	13: Summer Drill
0x81203c1c	14: Close In! E-Movie Club!
0x81203c3c	15: RPG Field Theme
0x81203c60	16: Sorimachi's Dance
0x81203c7c	17: Beachside School Demo
0x81203ca8	18: Floor Routine
0x81203cc8	19: Miyuri's Piano
0x81203ce4	20: Reco Session ~Happy~
0x81203d14	21: Reco Session ~Fluttery~
0x81203d44	22: Reco Session ~Eros~
0x81203d70	23: Reco Session ~Refreshing~
0x81203d9c	24: Reco Session ~Moody~
0x81203dcc	25: Love Route Choice
0x81203dec	26: Love Check
0x81203e04	27: Confess
0x81203e10	28: Epilogue
0x81203e24	29: Sagara Miu's Theme
