file_id,offset_hex,byte_length,jp_text,en_text,ru_text,de_text
ID00001,0000162c,48,（ん？　どこのクラスが体育だ？）,Huh? Which class has P.E.?,,
ID00001,000016c1,51,「魔法封印ッ。我が力を封じ込めよ」,Magic seal! Seal my power!,,
ID00001,00001759,12,「ん？」,Hm?,,
ID00001,00001f91,21,「あ、にい君」,"""Hey, bro.""",,
ID00001,000021d0,48,「真奈のクラスだったか、体育は」,"Oh, it's Mana's class for P.E.",,
ID00001,000023ef,48,「そう。今日は走り高跳びらしい」,Right. They have long jump today.,,
ID00001,00002605,39,「相変わらず、体育の時も、,You never take it off.,,
ID00001,0000263b,45,　足のバンダナ外さねーんだな」,even during P.E.,,
ID00001,000027fb,30,「今、結んだところ。,Just tied it.,,
ID00001,00002828,39,　これはリミッターだから」,Think of this as a limiter.,,
ID00001,00002a5e,39,「外すと真の力が発現して、,My true power will show.,,
ID00001,00002a94,33,　周りに迷惑がかかる」,It'll cause trouble.,,
ID00001,00002c97,36,「どんな？　…小さいころ,I heard that before.,,
ID00001,00002cca,33,　聞いた気もするけど」,But I'm not sure.,,
ID00001,00002d9d,57,「ジャンプした勢いで空気が引き裂かれ、,"The air rips apart from the force of the jump,",,
ID00001,00002de5,21,　空が割れる」,And the sky splits.,,
ID00001,000030fb,15,「ハァ？」,Huh?,,
ID00001,00003138,45,「我が名は『魔法を司る者』！」,My name is 'The Master of Magic'!,,
ID00001,000032e9,57,「火、水、風、雷、土の５つの自然魔法を,The five elemental magics.,,
ID00001,00003331,63,　プログラムで操り、全ての精霊を従えるッ」,I command all spirits!,,
ID00001,00003a63,42,「はいはい、中二病、中二病。,"Yeah yeah, middle school drama.",,
ID00001,00003a9c,42,　実際には、走り高跳びなんて,"Actually, you can't.",,
ID00001,00003ad5,36,　まるで跳べないだろ？」,"You couldn't do it at all, right?",,
ID00001,00003ce0,57,「普段、脆弱な肉体が足を引っ張るのは、,"Usually, my weak body holds me back because",,
ID00001,00003d28,51,　使い手の宿命。享受するしかない」,It's the fate of a user. We can only enjoy it.,,
ID00001,00004190,36,「ものは言いようだなぁ」,"Words are powerful, huh?",,
ID00001,000041e2,42,「筋骨隆々の方がよかった？」,You prefer someone with big muscles?,,
ID00001,0000435f,57,「ん？　お前がか？　…想像つかねーよ」,Hm? You? ...I can't even imagine.,,
ID00001,0000452b,48,「なら、このままでいいってこと」,"Then, this is fine.",,
ID00001,00004589,42,「まだ中２だし、胸を含めて、,I'm still growing.,,
ID00001,000045c2,45,　成長の余地は残ってるけどね」,including my chest.,,
ID00001,000048bd,51,「背はともかく、胸はどうだかなぁ。,How's the chest?,,
ID00001,000048ff,57,　ユイ姉はお前の歳でもっとあったぞ？」,Your age? Yui-nee had more back then.,,
ID00001,00004966,57,「現役女子高生モデルと比べるとか禁止」,No comparing.,,
ID00001,00004c6d,15,「ははは」,Heh heh heh,,
ID00001,00004e20,36,「今の私を録っておく？」,You wanna record me like this?,,
ID00001,00004fd7,12,「ん？」,Hm?,,
ID00001,00005011,48,「Ｃムービー部に入ったんでしょ？,"You joined the C-Movie Club, right?",,
ID00001,00005050,45,　私で動画の練習してみれば？」,Why don't you practice making videos with me?,,
ID00001,0000534b,54,「…そうだな。じゃあ、録らせてくれ」,...Right. Then let's record it.,,
ID00001,000059d3,51,「これで、にい君は…私に恋をする」,"With this, you'll... fall in love with me.",,
ID00001,000062a2,33,「はいはい、するする。,"Yeah, yeah, got it.",,
ID00001,000062d2,42,　中二病ポーズ、ありがとよ」,Thanks for the middle school pose.,,
ID00001,0000632a,45,「む、無効化されたか。手強い」,Huh? It's been neutralized... Tough one.,,
ID00001,000068b1,30,「あ、チャイムが…」,"Oh, the bell...",,
ID00001,000068fd,60,「お？　教室戻らねーと。それじゃあな！」,"Hey, gotta get back to class. Later!",,
ID00001,00006ca8,18,「またねー」,Later!,,
ID00001,00007175,36,（真奈…か。妹とはいえ、,(Mana...),,
ID00001,000071a8,42,　面白い被写体ではあるよな）,she does make an interesting subject.),,
ID00002,0000150c,42,（おっ、あそこにいるのは…）,"Hey, there's @str_000 over there...",,
ID00002,000019e4,33,「真奈、一口もらうぞ」,"Mana, let me have a sip.",,
ID00002,00001a33,12,「あ…」,...,,
ID00002,00001a6d,30,「んぐんぐ…ぷはぁ」,*Gulp*... *burp*,,
ID00002,00001efe,24,「私のコーラ…」,My Coke...,,
ID00002,00001f44,39,「いいだろ？　一口ぐらい」,"Come on, just one sip?",,
ID00002,000020c7,42,「いいけど、間接キスだよ？」,"Sure, but it'll be an indirect kiss.",,
ID00002,0000225a,42,「ブフッ！　変なこと言うな！,Haha! Don't say such weird things!,,
ID00002,00002293,48,　兄妹で間接キスもないだろ！？」,No indirect kisses between siblings!?,,
